PE2_2023/10/07 19:31:38  - PE2 is ready to execute instructions.
PE2_2023/10/07 19:31:43  - PE2 received external signal to execute instruction: WRITE 6.
PE2_2023/10/07 19:31:43  - PE2 is executing a WRITE operation.
PE2_2023/10/07 19:31:43  - PE2 sent (Type: WRITE, Address: 6) to the Cache Controller.
PE2_2023/10/07 19:31:43  - PE2 is waiting for a response from the Cache Controller....
PE2_2023/10/07 19:31:52  - PE2 received a response from the Cache Controller.
PE2_2023/10/07 19:31:52  - PE2 received --> Status: true.
PE2_2023/10/07 19:31:52  - PE2 has finished with the instruction.
PE2_2023/10/07 19:31:53  - PE2 received external signal to execute instruction: INC.
PE2_2023/10/07 19:31:53  - PE2 is executing a INC operation.
PE2_2023/10/07 19:31:53  - Now the value of the register is 1.
PE2_2023/10/07 19:31:53  - PE2 has finished with the instruction.
PE2_2023/10/07 19:31:55  - PE2 received external signal to execute instruction: WRITE 10.
PE2_2023/10/07 19:31:55  - PE2 is executing a WRITE operation.
PE2_2023/10/07 19:32:10  - PE2 sent (Type: WRITE, Address: 10) to the Cache Controller.
PE2_2023/10/07 19:32:10  - PE2 is waiting for a response from the Cache Controller....
PE2_2023/10/07 19:32:19  - PE2 received a response from the Cache Controller.
PE2_2023/10/07 19:32:19  - PE2 received --> Status: true.
PE2_2023/10/07 19:32:19  - PE2 has finished with the instruction.
PE2_2023/10/07 19:32:21  - PE2 received external signal to execute instruction: WRITE 12.
PE2_2023/10/07 19:32:21  - PE2 is executing a WRITE operation.
PE2_2023/10/07 19:32:37  - PE2 sent (Type: WRITE, Address: 12) to the Cache Controller.
PE2_2023/10/07 19:32:37  - PE2 is waiting for a response from the Cache Controller....
PE2_2023/10/07 19:32:46  - PE2 received a response from the Cache Controller.
PE2_2023/10/07 19:32:46  - PE2 received --> Status: true.
PE2_2023/10/07 19:32:46  - PE2 has finished with the instruction.
PE2_2023/10/07 19:32:46  - PE2 has executed all instructions.
